                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.02646,                0.06108,                 11.941,                0.12223,                0.00013,                      1,                0.00105,                0.00088,                0.00013,                      1,                0.00086,                0.00086,                0.04905,                0.02057,                 26.599,                0.11517,                0.00024,                0.00024,                0.00024
                      1,                0.06739,                0.12103,                 8.7797,                0.17703,                0.05769,                      1,                0.33167,                0.23217,                0.05769,                      1,                0.33167,                0.33167,                0.16215,                0.01141,                  98.94,                0.15065,              0.0004835,              0.0004835,              0.0004835
                      2,                0.06946,                0.01999,                 8.2798,                0.13298,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.25637,                0.02221,                  18067,                0.28573,             0.00070984,             0.00070984,             0.00070984
                      3,                0.47352,                0.33516,                 8.9157,                0.52677,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.25637,                0.02221,                  18067,                0.28573,             0.00091902,             0.00091902,             0.00091902
                      4,                      0,                      0,                 12.214,                      0,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.44123,                0.30888,                 1375.6,                0.55644,               0.001111,               0.001111,               0.001111
                      5,                0.29522,                0.68679,                  11.29,                0.28924,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.44123,                0.30888,                 1375.6,                0.55644,              0.0012859,              0.0012859,              0.0012859
                      6,                0.66738,                 3.4436,                  7.675,                 0.6267,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.47049,                 1.7555,             1.1439e+05,                0.39283,              0.0014436,              0.0014436,              0.0014436
                      7,                0.54194,                 1.2302,                 7.9548,                0.39404,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.47049,                 1.7555,             1.1439e+05,                0.39283,               0.001538,               0.001538,               0.001538
                      8,                0.58578,                 1.0418,                 6.6719,                0.48257,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.67338,                 1.0165,                  43409,                0.78466,               0.001538,               0.001538,               0.001538
                      9,                 0.1464,                0.70885,                 5.0238,                0.18344,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.67338,                 1.0165,                  43409,                0.78466,               0.001472,               0.001472,               0.001472
                     10,                0.32487,                0.62666,                 5.0845,                0.38618,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.17774,                 662.02,                 1374.2,                 2.0946,               0.001406,               0.001406,               0.001406
                     11,                0.70925,                 1.7904,                 4.9091,                0.60889,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.17774,                 662.02,                 1374.2,                 2.0946,                0.00134,                0.00134,                0.00134
                     12,                0.23036,                0.85224,                 4.4827,                0.14492,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.17774,                 662.02,                 1374.2,                 2.0946,               0.001274,               0.001274,               0.001274
                     13,                0.12192,                0.45266,                 3.6052,                0.16295,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.86279,                 7.4554,                  100.2,                 1.9323,               0.001208,               0.001208,               0.001208
                     14,                0.44487,                 1.1857,                 3.1522,                0.53442,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.86279,                 7.4554,                  100.2,                 1.9323,               0.001142,               0.001142,               0.001142
                     15,                0.60146,                 1.1573,                 3.0822,                 0.5067,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                 0.5106,                0.46149,                 19.238,                0.46673,               0.001076,               0.001076,               0.001076
                     16,                0.58193,                  1.045,                 2.7604,                0.53204,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                 0.5106,                0.46149,                 19.238,                0.46673,                0.00101,                0.00101,                0.00101
                     17,                      0,                      0,                 2.0456,                      0,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                 0.5106,                0.46149,                 19.238,                0.46673,               0.000944,               0.000944,               0.000944
                     18,                0.49299,                0.52405,                  2.122,                0.40492,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.63649,                0.18344,                 1.3274,                0.54956,               0.000878,               0.000878,               0.000878
                     19,                0.90908,                 1.0636,                 2.3943,                0.65728,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.63649,                0.18344,                 1.3274,                0.54956,               0.000812,               0.000812,               0.000812
                     20,                0.14772,                  0.177,                 1.6361,                 0.2106,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.42425,                  2.237,                 1.6374,                0.80456,               0.000746,               0.000746,               0.000746
                     21,                0.25863,                 1.1034,                 1.3692,                0.16881,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.42425,                  2.237,                 1.6374,                0.80456,                0.00068,                0.00068,                0.00068
                     22,                0.21182,                0.17073,                 1.3911,                0.19802,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.42425,                  2.237,                 1.6374,                0.80456,               0.000614,               0.000614,               0.000614
                     23,                0.21842,                0.12581,                 1.2431,                0.22031,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.31768,                0.65841,                 1.9508,                0.66239,               0.000548,               0.000548,               0.000548
                     24,                0.15656,                 0.4203,                 1.2179,                0.16848,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.31768,                0.65841,                 1.9508,                0.66239,               0.000482,               0.000482,               0.000482
                     25,                0.26612,                0.17395,                 1.1311,                0.23017,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.33593,                0.26425,                 1.9264,                0.57277,               0.000416,               0.000416,               0.000416
                     26,                0.19818,                0.12261,                 1.0225,                0.20124,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.33593,                0.26425,                 1.9264,                0.57277,                0.00035,                0.00035,                0.00035
                     27,                0.20784,                0.23136,                 1.0277,                 0.2366,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.33593,                0.26425,                 1.9264,                0.57277,               0.000284,               0.000284,               0.000284
                     28,                0.29946,                0.12756,                0.97004,                0.26885,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.40543,                0.29902,                 1.7057,                0.54527,               0.000218,               0.000218,               0.000218
                     29,                0.13061,                0.13396,                0.98578,                0.16981,                0.00015,                      1,                0.00035,                0.00018,                0.00015,                      1,                0.00035,                0.00032,                0.40543,                0.29902,                 1.7057,                0.54527,               0.000152,               0.000152,               0.000152
